2026-03-08 03:06:11,764 | leadparser.main      | INFO     | Supabase insert: 0 new, 0 dupes, 0 errors
2026-03-08 03:06:11,868 | leadparser.main      | INFO     | Supabase insert: 0 new, 0 dupes, 0 errors
2026-03-08 03:06:12,644 | leadparser.main      | INFO     | CSV export: 57 leads -> data\leads_20260308_030612.csv
2026-03-08 03:06:12,644 | leadparser.supabase  | INFO     | Session complete | stats: {'niches': 3, 'cities': 1, 'combinations': 3, 'raw_total': 0, 'total': 0, 'new': 0, 'duplicates': 0, 'errors': 0, 'csv_path': 'data\\leads_20260308_030612.csv'}
2026-03-08 03:06:12,647 | leadparser.main      | INFO     | CSV export: 57 leads -> data\leads_20260308_030612.csv
2026-03-08 03:06:12,647 | leadparser.supabase  | INFO     | Session complete | stats: {'niches': 3, 'cities': 1, 'combinations': 3, 'raw_total': 0, 'total': 0, 'new': 0, 'duplicates': 0, 'errors': 0, 'csv_path': 'data\\leads_20260308_030612.csv'}
2026-03-08 03:06:12,742 | leadparser.main      | INFO     | CSV export: 57 leads -> data\leads_20260308_030612.csv
2026-03-08 03:06:12,742 | leadparser.supabase  | INFO     | Session complete | stats: {'niches': 3, 'cities': 1, 'combinations': 3, 'raw_total': 0, 'total': 0, 'new': 0, 'duplicates': 0, 'errors': 0, 'csv_path': 'data\\leads_20260308_030612.csv'}
2026-03-08 03:06:12,766 | leadparser.main      | INFO     | Total runtime: 36s
2026-03-08 03:06:12,884 | leadparser.main      | INFO     | Total runtime: 36s
