2026-03-08 00:31:22,761 | GoogleMapsScraper    | INFO     |   [76/200] Extracting: https://www.google.com/maps/place/Bodega+Ellerslie/data=!4m7!3m6!1s0x53a01f00597…
2026-03-08 00:31:33,472 | GoogleMapsScraper    | INFO     |   [77/200] Extracting: https://www.google.com/maps/place/JOEY+Mayfield/data=!4m7!3m6!1s0x53a0211cfd54c2…
2026-03-08 00:31:43,176 | GoogleMapsScraper    | INFO     |   [78/200] Extracting: https://www.google.com/maps/place/MEAT/data=!4m7!3m6!1s0x53a0220fdc661e57:0x99e6…
2026-03-08 00:31:52,872 | GoogleMapsScraper    | INFO     |   [79/200] Extracting: https://www.google.com/maps/place/Pip/data=!4m7!3m6!1s0x53a0220fde998bdd:0x20437…
2026-03-08 00:32:06,471 | GoogleMapsScraper    | INFO     |   [80/200] Extracting: https://www.google.com/maps/place/Chop+Steakhouse+%26+Bar/data=!4m7!3m6!1s0x53a0…
2026-03-08 00:32:16,007 | GoogleMapsScraper    | INFO     |   [81/200] Extracting: https://www.google.com/maps/place/El+Corazon+-+Glenora/data=!4m7!3m6!1s0x53a0218…
2026-03-08 00:32:23,580 | GoogleMapsScraper    | INFO     |   [82/200] Extracting: https://www.google.com/maps/place/Tzin+Wine+%26+Tapas/data=!4m7!3m6!1s0x53a02247…
2026-03-08 00:32:31,030 | GoogleMapsScraper    | INFO     |   [83/200] Extracting: https://www.google.com/maps/place/XIX+Nineteen/data=!4m7!3m6!1s0x53a01e3aa72670d…
2026-03-08 00:32:39,370 | GoogleMapsScraper    | INFO     |   [84/200] Extracting: https://www.google.com/maps/place/DOSC/data=!4m7!3m6!1s0x53a0238cebff8963:0xe49e…
2026-03-08 00:32:48,063 | GoogleMapsScraper    | INFO     |   [85/200] Extracting: https://www.google.com/maps/place/Cactus+Club+Cafe/data=!4m7!3m6!1s0x53a020573a8…
2026-03-08 00:32:57,028 | GoogleMapsScraper    | INFO     |   [86/200] Extracting: https://www.google.com/maps/place/JOEY+South+Common/data=!4m7!3m6!1s0x53a01ec3df…
